set,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12
1,lease,knees,tea,free,bee,trees,flee,need,peace,three,key,freeze
2,lamb,glad,slam,swam,bad,cab,track,dad,trap,grab,black,lap
3,chair,spare,space,chase,change,pair,park,part,mark,spark,chart,share
4,fact,pad,beg,bat,bag,bet,mad,back,pact,pack,pass,pet
5,slide,buy,hide,thigh,high,side,bite,sky,pine,sigh,sign,guide
6,grim,twist,risk,rib,rip,twin,trip,grip,grin,wrist,chip,chin
7,feed,feet,feel,film,field,beef,fill,bill,leaf,drill,pill,still
8,patch,path,bath,bunch,bench,fetch,lunch,catch,match,sketch,snatch,stretch
9,send,damp,lack,bank,stamp,lamp,land,band,bend,lend,dance,grand
10,sweep,sweet,sleep,steep,bid,bin,lid,lit,neat,slip,knit,big
11,pit,dig,stiff,pig,stick,sit,quit,pick,sniff,pitch,quick,pin
12,boat,coat,cope,goat,hope,rope,code,toast,ghost,top,pop,hop
13,mix,tip,thick,miss,sick,six,trick,fix,kick,kit,dip,kiss
14,size,prize,site,keep,seek,deed,seat,heap,meet,cheek,deep,cheap
15,mail,face,main,lace,nail,trail,pale,name,lane,late,pay,ace
16,fate,tile,bit,fight,fade,file,faith,mate,made,blade,fail,fit
17,lump,crowd,crown,cloud,proud,loud,pump,dump,duck,down,brown,doubt
18,tight,pie,white,wide,light,sight,ride,tide,pipe,life,wife,write
19,spill,spin,wit,wing,hit,sink,skill,win,swing,hill,skin,pink
20,bound,mouth,hall,sound,small,south,mile,mild,round,pound,smile,mind
21,cold,rule,road,rude,role,home,nose,hole,rose,crude,hold,crew
22,hair,shell,hate,rate,rail,rare,help,sell,swell,swear,spell,smell
23,mug,mud,dug,rug,come,cup,club,rub,run,cut,shrug,shut
24,snake,cake,sake,shake,lake,stake,state,stay,blame,flame,lay,tray
25,call,stall,tall,cause,bond,fond,pond,false,fault,ball,fall,crawl
26,cash,brass,gas,mass,pan,fan,glass,grass,crash,smash,ban,grasp
27,school,pool,moon,thumb,stool,skull,sum,soon,tool,cool,numb,sun
28,ring,reach,clean,rich,mean,bean,teach,beach,beat,cling,beam,preach
29,fox,sock,box,block,luck,clock,suck,rock,stuck,boss,loss,cross
30,shirt,skirt,dirt,ward,burst,shore,sword,burn,first,born,war,score
31,limb,ship,sheep,lip,shed,leap,dead,breed,bread,leave,breeze,creep
32,wheel,seal,seed,weep,scene,speak,steam,speed,steal,lean,wheat,weak
33,straw,draw,law,soul,saw,goal,gold,fold,sold,told,go,bold
34,short,sport,sort,fork,storm,warm,form,horn,store,port,force,corn
35,stare,care,cheer,dear,pier,fear,wear,sheer,clear,hear,gear,fair
36,wake,wait,straight,grade,came,pain,wage,grain,game,great,gate,gain
37,cave,tape,brave,page,pace,race,cage,waste,taste,rage,wave,take
38,play,faint,shade,shape,paint,say,fame,trade,shame,saint,grey,frame
39,tore,host,four,boast,court,coast,post,pose,core,door,floor,poor
40,screen,scream,stream,street,deem,deal,green,gene,greet,seen,meal,cream
41,rain,strain,man,strange,ram,brain,vein,van,ran,train,plane,plan
42,test,rest,best,text,red,bed,nest,tent,rent,neck,chest,check
43,firm,learn,earn,earth,herb,worm,birth,term,worth,bird,word,work
44,foot,fool,took,pull,bull,cook,wool,wolf,full,wood,book,bush
45,dog,dot,fog,log,shot,lost,dock,knock,shock,stock,knot,lock
46,rat,tap,sack,hat,sand,scrap,can,cat,brand,hand,wrap,sad
47,king,team,sing,sin,thing,thin,think,kid,seem,tin,dream,drink
48,clay,day,base,case,grace,place,safe,sail,claim,trace,bay,tail
49,suit,group,soup,root,boot,food,mood,troop,shoot,loop,loose,news
50,slow,blow,snow,pole,low,coach,coal,soap,grow,show,slope,flow
